JX483881	JX483881.1	115042	Rhizobium phage RHEph10	Viruses; unclassified phages.	unknown	Rhizobium etli CFN42	Rhizobium
JX486088	JX486088.1	80617	Lactobacillus phage ATCC 8014-B2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactobacillus plantarum ATCC 8014	Lactobacillus
JX495041	JX495041.1	39014	Pseudomonas phage JBD18	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Pseudomonas	Pseudomonas
JX495042	JX495042.1	39552	Pseudomonas phage JBD25	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Pseudomonas	Pseudomonas
JX507079	JX507079.1	59363	Acidithiobacillus phage AcaML1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Acidithiobacillus caldus ATCC 51756	Acidithiobacillus
JX509734	JX509734.1	38389	Enterobacteria phage SfI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Shigella flexneri serotype 1a strain 019	Shigella
JX560521	JX560521.1	43216	Acinetobacter phage phiAC-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Acinetobacter soli KZ-1	Acinetobacter
JX560968	JX560968.1	86231	Escherichia phage EC6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Escherichia coli serotype O157:H7	Escherichia
JX564242	JX564242.1	31106	Lactococcus phage Q33	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis P335	Lactococcus
JX570703	JX570703.1	29503	Propionibacterium phage PHL073M02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Propionibacterium acnes	Propionibacterium
JX570707	JX570707.1	29451	Propionibacterium phage PHL085M01	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Propionibacterium acnes	Propionibacterium
JX570708	JX570708.1	29453	Propionibacterium phage PHL115M02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Propionibacterium acnes	Propionibacterium
JX570711	JX570711.1	29512	Propionibacterium phage PHL066M04	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Propionibacterium acnes	Propionibacterium
JX649096	JX649096.1	68884	Mycobacterium phage Serpentine	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
JX649097	JX649097.1	68992	Mycobacterium phage Piglet	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
JX649098	JX649098.1	69321	Mycobacterium phage Nacho	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
JX649099	JX649099.1	68004	Mycobacterium phage Gyarad	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
JX649100	JX649100.1	68910	Mycobacterium phage Alex	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
JX681814	JX681814.1	37637	Burkholderia phage phiX216	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	unknown	Burkholderia pseudomallei environmental isolate	Burkholderia
JX871397	JX871397.1	46150	Enterobacteria phage phi80	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	unknown	Escherichia coli	Escherichia
JX875065	JX875065.1	137031	Staphylococcus phage SA5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	unknown	Staphylococcus aureus PS80	Staphylococcus
JX889246	JX889246.1	50348	Streptomyces phage phiCAM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Streptomyces coelicolor	Streptomyces
JX913857	JX913857.1	5386	synthetic Enterobacteria phage phiX174.1f	other sequences; artificial sequences.	unknown	Escherichia coli C	Escherichia
JX976549	JX976549.1	43665	Acinetobacter phage IME-AB2	Viruses; unclassified phages.	unknown	Acinetobacter baumannii	Acinetobacter
KC012913	KC012913.1	140903	Staphylococcus phage Team1	Viruses; unclassified phages.	unknown	Staphylococcus xylosus SMQ121	Staphylococcus
KC139514	KC139514.1	59815	Salmonella phage FSL SP-039	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Salmonella enterica	Salmonella
KC139515	KC139515.1	59245	Salmonella phage FSL SP-124	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Salmonella enterica	Salmonella
KC139524	KC139524.1	77783	Salmonella phage FSL SP-063	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Salmonella enterica	Salmonella
KC139565	KC139565.1	2133	Salmonella phage FSL SP-029	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Salmonella enterica	Salmonella
KC139570	KC139570.1	7614	Salmonella phage FSL SP-029	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Salmonella enterica	Salmonella
KC139638	KC139638.1	41613	Salmonella phage FSL SP-107	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Salmonella enterica	Salmonella
KC139653	KC139653.1	3709	Salmonella phage FSL SP-038	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Salmonella enterica	Salmonella
KC182543	KC182543.1	29247	Lactococcus lactis phage 645	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis	Lactococcus
KC182544	KC182544.1	27302	Lactococcus phage 936	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus	Lactococcus
KC182545	KC182545.1	30674	Lactococcus phage fd13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus	Lactococcus
KC182548	KC182548.1	30796	Lactococcus lactis phage P113G	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis	Lactococcus
KC182549	KC182549.1	30778	Lactococcus lactis phage p272	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis	Lactococcus
KC182550	KC182550.1	30961	Lactococcus lactis phage P475	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis	Lactococcus
KC206276	KC206276.2	70912	Escherichia phage EC1-UPM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	unknown	Escherichia coli O78:K80	Escherichia
KC237308	KC237308.1	5475	Enterobacteria phage ID204 Moscow/ID	Viruses; ssDNA viruses; Microviridae; Microvirus; unclassifiedEnterobacteria phage G4 clade.	unknown	Escherichia coli C	Escherichia
KC262634	KC262634.1	65270	Pseudomonas phage H66	Viruses; unclassified phages.	unknown	Pseudomonas aeruginosa HIM-6	Pseudomonas
KC295538	KC295538.1	348113	Escherichia phage PBECO 4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Escherichia coli O157	Escherichia
KC330681	KC330681.1	49362	Bacillus phage Gemini	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Bacillus pumilus BL8	Bacillus
KC330682	KC330682.1	49492	Bacillus phage Taylor	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Bacillus pumilus BL8	Bacillus
KC333879	KC333879.1	43017	Enterobacteria phage phiJLA23	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	unknown	Escherichia coli	Escherichia
KC348598	KC348598.1	33516	Streptococcus phage phi20c	Viruses; unclassified phages.	unknown	Streptococcus suis 8067	Streptococcus
KC348599	KC348599.1	42703	Streptococcus phage phi30c	Viruses; unclassified phages.	unknown	Streptococcus suis 8067	Streptococcus
KC348600	KC348600.1	38539	Streptococcus phage phi5218	Viruses; unclassified phages.	unknown	Streptococcus suis 5218	Streptococcus
KC348601	KC348601.1	36128	Streptococcus phage phi7917	Viruses; unclassified phages.	unknown	Streptococcus suis 7917	Streptococcus
KC348602	KC348602.1	34367	Streptococcus phage phi891591	Viruses; unclassified phages.	unknown	Streptococcus suis 89/1591	Streptococcus
KC348603	KC348603.1	49973	Streptococcus phage phiD12	Viruses; unclassified phages.	unknown	Streptococcus suis D12	Streptococcus
KC348604	KC348604.1	35373	Streptococcus phage phiS10	Viruses; unclassified phages.	unknown	Streptococcus suis S10	Streptococcus
KC413987	KC413987.1	35598	Streptococcus phage phiSS12	Viruses; unclassified phages.	unknown	Streptococcus suis SS12	Streptococcus
KC413988	KC413988.1	38940	Streptococcus phage phiST1	Viruses; unclassified phages.	unknown	Streptococcus suis ST1	Streptococcus
KC438283	KC438283.1	68964	Vibrio phage VCO139	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	unknown	Vibrio cholerae	Vibrio
KC522412	KC522412.1	30692	Lactococcus phage CaseusJM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis subsp. cremoris	Lactococcus
KC542353	KC542353.1	39940	Pseudoalteromonas phage TW1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Pseudoalteromonas phenolica	Pseudoalteromonas
KC556893	KC556893.1	38253	Brucella phage Bk	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella melitensis	Brucella
KC556894	KC556894.1	41142	Brucella phage Fz	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella abortus	Brucella
KC556895	KC556895.1	38253	Brucella phage R/C	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella canis	Brucella
KC556896	KC556896.1	38253	Brucella phage S708	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella suis S708	Brucella
KC556897	KC556897.1	41142	Brucella phage Tb	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella abortus	Brucella
KC556898	KC556898.1	38253	Brucella phage Wb	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Brucella abortus	Brucella
KC576784	KC576784.1	68355	Mycobacterium phage ShiVal	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KC579452	KC579452.1	47285	Enterobacterio phage phiKP26	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	unknown	Salmonella enterica subsp. enterica serovar	Salmonella
KC581799	KC581799.1	50470	Streptococcus phage phiD12	Viruses; unclassified phages.	unknown	Streptococcus	Streptococcus
KC595511	KC595511.2	82008	Bacillus phage Basilisk	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Bacillus cereus	Bacillus
KC595512	KC595512.2	137918	Bacillus phage JL	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Bacillus cereus	Bacillus
KC595513	KC595513.2	138877	Bacillus phage Shanette	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Bacillus cereus	Bacillus
KC595514	KC595514.1	54312	Paenibacillus phage Jimmer2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Paenibacillus larvae	Paenibacillus
KC595515	KC595515.1	54312	Paenibacillus phage Jimmer1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Paenibacillus larvae	Paenibacillus
KC595516	KC595516.1	58573	Paenibacillus phage Emery	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Paenibacillus larvae	Paenibacillus
KC595517	KC595517.1	45552	Paenibacillus phage Abouo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Paenibacillus larvae	Paenibacillus
KC618326	KC618326.1	31200	Enterobacteria phage P2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	unknown	Escherichia coli O157:H43 str. T22	Escherichia
KC661271	KC661271.1	51373	Mycobacterium phage Dhanush	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KC661272	KC661272.1	50891	Mycobacterium phage Methuselah	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KC661276	KC661276.1	76653	Mycobacterium phage Winky	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KC787107	KC787107.1	39318	Mycobacterium phage Bo4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium tuberculosis; Mycobacterium smegmatis	Mycobacterium
KC821604	KC821604.1	78269	Cellulophaga phage phiST	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Cellulophaga baltica MM	Cellulophaga
KC821610	KC821610.1	54015	Cellulophaga phage phi3ST:2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821612	KC821612.1	72529	Cellulophaga phage phi40:1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Cellulophaga baltica NN015840	Cellulophaga
KC821615	KC821615.1	39151	Cellulophaga phage phi12:3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821616	KC821616.1	54566	Cellulophaga phage phiSM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cellulophaga baltica MM	Cellulophaga
KC821621	KC821621.1	78275	Cellulophaga phage phi19:2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821625	KC821625.1	76666	Cellulophaga phage phi13:1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821627	KC821627.1	38476	Cellulophaga phage phi18:2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821628	KC821628.1	6478	Cellulophaga phage phi18:4	Viruses; ssDNA viruses; Microviridae; unclassified Microviridae.	unknown	Cellulophaga baltica	Cellulophaga
KC821629	KC821629.1	54012	Cellulophaga phage phi38:2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cellulophaga baltica NN016038	Cellulophaga
KC821630	KC821630.1	54427	Cellulophaga phage phi3:1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cellulophaga baltica MM	Cellulophaga
KC821631	KC821631.1	6478	Cellulophaga phage phi48:1	Viruses; ssDNA viruses; Microviridae; unclassified Microviridae.	unknown	Cellulophaga baltica NN016048	Cellulophaga
KC821634	KC821634.1	54016	Cellulophaga phage phi47:1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cellulophaga baltica NN014847	Cellulophaga
KC862296	KC862296.1	88097	Pseudomonas phage P3_CHA	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Pseudomonas aeruginosa CHA	Pseudomonas
KC911856	KC911856.1	38689	Salmonella phage SPC32H	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Salmonella enterica serovar Typhimurium strain	Salmonella
KC911857	KC911857.1	38689	Salmonella phage SPC32N	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Salmonella enterica serovar Typhimurium strain	Salmonella
KC954775	KC954775.1	182145	Cronobacter phage S13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Cronobacter sakazakii ATCC 29544	Cronobacter
KC969441	KC969441.1	42519	Pseudomonas phage MBL	Viruses; unclassified phages.	unknown	Pseudomonas aeruginosa	Pseudomonas
KF005318	KF005318.1	101724	Alteromonas phage vB_AmaP_AD45-P3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Alteromonas macleodii str. 'Balearic Sea AD45'	Alteromonas
KF005319	KF005319.1	100619	Alteromonas phage vB_AmaP_AD45-P4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Alteromonas macleodii str. 'Balearic Sea AD45'	Alteromonas
KF005320	KF005320.1	104036	Alteromonas phage vB_AmaP_AD45-P2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Alteromonas macleodii str. 'Balearic Sea AD45'	Alteromonas
KF006817	KF006817.1	154434	Mycobacterium phage Breeniome	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF017927	KF017927.1	52807	Mycobacterium phage Odin	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF021268	KF021268.1	139928	Staphylococcus phage phiIBB-SEP1	Viruses; unclassified phages.	unknown	Staphylococcus epidermidis 9142	Staphylococcus
KF024722	KF024722.1	67324	Mycobacterium phage TA17A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF024733	KF024733.1	51384	Mycobacterium phage Medusa	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF024734	KF024734.1	155714	Mycobacterium phage Shrimp	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF030445	KF030445.1	47343	Escherichia phage 1720a-02	Viruses; unclassified phages.	unknown	Escherichia coli strain O174:H21 isolate 1720a	Escherichia
KF044309	KF044309.1	5486	Enterobacteria phage FL68 Tallahassee/FL/2012	Viruses; ssDNA viruses; Microviridae; Microvirus; unclassifiedEnterobacteria phage G4 clade.	unknown	Escherichia coli	Escherichia
KF044310	KF044310.1	5486	Enterobacteria phage FL76 Tallahassee/FL/2012	Viruses; ssDNA viruses; Microviridae; Microvirus; unclassifiedEnterobacteria phage G4 clade.	unknown	Escherichia coli	Escherichia
KF055347	KF055347.1	87712	Escherichia phage JH2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Escherichia coli VN2-O8:F4 ETEC	Escherichia
KF114876	KF114876.1	86537	Leptospira phage vB_LalZ_80412-LE1	Viruses; unclassified phages.	AOHD00000000	Leptospira	Leptospira
KF114878	KF114878.1	47417	Leptospira phage vb_LkmZ_Bejolso9-LE1	Viruses; unclassified phages.	AHMP00000000	Leptospira	Leptospira
KF148616	KF148616.1	132667	Campylobacter phage CP8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Campylobacter jejuni subsp. jejuni	Campylobacter
KF156339	KF156339.1	176044	Synechococcus phage S-MbCM25	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	unknown	Synechococcus sp. WH7803	Synechococcus
KF188414	KF188414.1	76131	Mycobacterium phage ABCat	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF192053	KF192053.1	57081	Enterococcus phage IME-EF1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Enterococcus faecalis 002	Enterococcus
KF192075	KF192075.1	71248	Escherichia phage vB_EcoP_PhAPEC5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	unknown	Escherichia	Escherichia
KF208315	KF208315.1	167785	Yersinia phage PST	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	unknown	Yersinia	Yersinia
KF296717	KF296717.1	43278	Bacillus phage proCM3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Bacillus thuringiensis strain YM-03	Bacillus
KF301602	KF301602.1	155997	Caulobacter phage Cr30	Viruses; unclassified phages.	unknown	Caulobacter crescentus CB15	Caulobacter
KF302032	KF302032.1	37730	Pseudoalteromonas phage HS5	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H105	Pseudoalteromonas
KF302033	KF302033.1	37211	Pseudoalteromonas phage HS1	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H105	Pseudoalteromonas
KF302034	KF302034.1	129439	Pseudoalteromonas phage HM1	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H71	Pseudoalteromonas
KF302035	KF302035.1	35330	Pseudoalteromonas phage HS6	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H100	Pseudoalteromonas
KF302036	KF302036.1	38208	Pseudoalteromonas phage HS2	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H100	Pseudoalteromonas
KF302037	KF302037.1	45035	Pseudoalteromonas phage HP1	Viruses; unclassified phages.	unknown	Pseudoalteromonas sp. str. H100	Pseudoalteromonas
KF322026	KF322026.1	42544	Vibrio phage phi-A318	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	unknown	Vibrio alginolyticus	Vibrio
KF356199	KF356199.1	169223	Microcystis phage MaMV-DC	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Microcystis aeruginosa	Microcystis
KF381361	KF381361.1	194701	Sinorhizobium phage phiM12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	unknown	Sinorhizobium meliloti	Sinorhizobium
KF437907	KF437907.1	45532	Phormidium phage MIS-PhV1A	Viruses; unclassified phages.	unknown	Phormidium sp. MIS-PhA	Phormidium
KF437908	KF437908.1	41291	Phormidium phage MIS-PhV1B	Viruses; unclassified phages.	unknown	Phormidium sp. MIS-PhA	Phormidium
KF475786	KF475786.1	36838	Pseudomonas phage MP48	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	unknown	Pseudomonas aeruginosa PA14	Pseudomonas
KF493883	KF493883.1	74533	Mycobacterium phage Mosby	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KF554508	KF554508.2	138658	Bacillus phage CP-51	Viruses; unclassified phages.	unknown	Bacillus cereus HER1399	Bacillus
KF562340	KF562340.1	71778	Escherichia phage vB_EcoP_PhAPEC7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	unknown	Escherichia coli	Escherichia
KF562341	KF562341.1	167318	Escherichia phage vB_EcoM_PhAPEC2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	unknown	Escherichia coli	Escherichia
KF626665	KF626665.1	56147	Xylella phage Sano	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Xylella fastidiosa	Xylella
KF626668	KF626668.1	55601	Xylella phage Salvo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Xylella fastidiosa	Xylella
KF669657	KF669657.1	39874	Bacillus phage poppyseed	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	unknown	Bacillus megaterium Km	Bacillus
KF676640	KF676640.1	28452	Lactococcus phage SK1833	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus lactis	Lactococcus
KF751793	KF751793.1	37940	Campylobacter phage CJIE4-1	Viruses; unclassified phages.	unknown	Campylobacter jejuni subsp. jejuni 00-0949	Campylobacter
KF751794	KF751794.1	36734	Campylobacter phage CJIE4-2	Viruses; unclassified phages.	unknown	Campylobacter jejuni subsp. jejuni 00-1597	Campylobacter
KF751795	KF751795.1	35417	Campylobacter phage CJIE4-3	Viruses; unclassified phages.	unknown	Campylobacter jejuni subsp. jejuni 00-2425	Campylobacter
KF751796	KF751796.1	35459	Campylobacter phage CJIE4-4	Viruses; unclassified phages.	unknown	Campylobacter jejuni subsp. jejuni 00-6200	Campylobacter
KF751797	KF751797.1	36991	Campylobacter phage CJIE4-5	Viruses; unclassified phages.	unknown	Campylobacter jejuni subsp. jejuni 01-1512	Campylobacter
KF766125	KF766125.1	60875	Shigella STX1-converting phage HUN/2013	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	unknown	Shigella sonnei 75/02	Shigella
KF767351	KF767351.1	38269	Lactobacillus phage phi jlb1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Lactobacillus gasseri ADH	Lactobacillus
KF771236	KF771236.1	46719	Escherichia phage bV_EcoS_AHP24	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	E. coli O157:H7 R508 (phage type 14)	Escherichia
KF771237	KF771237.1	46847	Escherichia phage bV_EcoS_AHP42	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	E. coli O157:H7 R508 (phage type 14)	Escherichia
KF771238	KF771238.1	46440	Escherichia phage bV_EcoS_AHS24	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	E. coli O157:H7 R508 (phage type 14)	Escherichia
KF771239	KF771239.1	45746	Escherichia phage bV_EcoS_AKS96	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	E. coli O157:H7 R508 (phage type 14)	Escherichia
KF772233	KF772233.1	43015	Edwardsiella phage eiAU	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Edwardsiella ictaluri	Edwardsiella
KF787094	KF787094.1	73659	Achromobacter phage JWDelta	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	unknown	Achromobacter xylosoxidans DSM 11852	Achromobacter
KF800937	KF800937.1	42542	Vibrio phage AS51	Viruses; unclassified phages.	unknown	Vibrio alginolyticus	Vibrio
KF831354	KF831354.1	43748	Staphylococcus phage phiBU01	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Staphylococcus aureus HIP07256	Staphylococcus
KF841476	KF841476.1	51369	Mycobacterium phage Melvin	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Mycobacterium smegmatis mc2 155	Mycobacterium
KJ021043	KJ021043.1	35560	Klebsiella phage Kpn112	Viruses; unclassified phages.	unknown	Klebsiella pneumoniae ATCC 10031	Klebsiella
KJ094029	KJ094029.1	135279	Listeria phage LP-064	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Listeria monocytogenes	Listeria
KJ094031	KJ094031.1	135817	Listeria phage LP-124	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Listeria monocytogenes	Listeria
