Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
JN006064	Mycobacterium phage OSmaximus	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN020140	Mycobacterium phage MrGordo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3811
JN020143	Mycobacterium phage ShiLan	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN020143
JN049605	Mycobacterium phage EricB	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3755
JN083852	Mycobacterium phage Benedict	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3710
JN083853	Mycobacterium phage Airmid	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3710
JN185608	Mycobacterium phage JAWS	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3708
JN408459	Mycobacterium phage Cuco	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3769
JN600672	Mycobacterium phage Fezzik	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3790
JN600960	Enterobacteria phage IME10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	JN600960
JN638752	Mycobacterium phage Murdoc	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN638753	Mycobacterium phage Morgushi	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN698990	Mycobacterium phage IsaacEli	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN699002	Mycobacterium phage Avrafan	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3781
JN699003	Mycobacterium phage Athena	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3729
JN699004	Mycobacterium phage Ares	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	1076630.3
JN699009	Mycobacterium phage ThreeOh3D2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN699010	Mycobacterium phage TallGRassMM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN699014	Mycobacterium phage Nova	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3815
JN699017	Mycobacterium phage Kikipoo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN699018	Mycobacterium phage Kamiyu	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3729
JN699628	Mycobacterium phage Bongo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN699628
JN797796	Bacillus phage B5S	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus cereus	yes	no	6666666.43464
JN797798	Bacillus phage BCU4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus cereus	yes	no	JN797798
JN831653	Mycobacterium phage Fionnbharth	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN831653
JN831654	Mycobacterium phage Saintus	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN831654
JN859129	Mycobacterium phage DotProduct	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3759
JQ067083	Pseudomonas phage PaMx13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JQ067083
JQ067084	Pseudomonas phage PaMx25	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JQ067084
JQ067085	Pseudomonas phage PaMx73	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JQ067085
JQ300538	Mycobacterium phage Spartacus	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JQ300538
JQ512844	Mycobacterium phage Twister	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JQ512844
JQ684677	Mycobacterium phage Tiger	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JQ684677
JQ691610	Salmonella phage SPN9TCW	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Salmonella	Salmonella enterica	yes	no	JQ691610
JQ692107	Vibrio phage SSP002	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Vibrio	Vibrio vulnificus	yes	no	JQ692107
JQ698665	Mycobacterium phage Nepal	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JQ698665
JQ740787	Lactococcus Phage ASCC191	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740787
JQ740789	Lactococcus Phage ASCC281	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740790	Lactococcus Phage ASCC284	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740792	Lactococcus Phage ASCC310	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740795	Lactococcus Phage ASCC356	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740796	Lactococcus Phage ASCC358	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740797	Lactococcus Phage ASCC365	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740804	Lactococcus Phage ASCC465	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740805	Lactococcus Phage ASCC473	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740807	Lactococcus Phage ASCC489	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740808	Lactococcus Phage ASCC497	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740812	Lactococcus Phage ASCC531	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ740813	Lactococcus Phage ASCC532	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	JQ740789
JQ764986	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JQ764987	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JQ764988	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JQ764989	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JQ764990	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JQ780163	Vibrio phage VP3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Vibrio	Vibrio cholerae	yes	no	JQ780163
JQ966307	Enterobacterio phage MS2	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Escherichia	Escherichia coli	yes	no	JQ966307
JX128257	Escherichia phage ECML-4	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	JX128257
JX128258	Escherichia phage ECML-117	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	JX128258
JX174275	Staphylococcus phage LH1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	JX174275
JX193904	Enterococcus phage EfaCPT1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Enterococcus	Enterococcus faecalis	yes	no	JX193904
JX194238	Pseudomonas phage PA26	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JX194238
JX307702	Mycobacterium phage Arturo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX307702
JX307704	Mycobacterium phage Goose	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX307704
JX307705	Mycobacterium phage Marcell	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX307705
JX403939	Pseudomonas phage YMC/01/01/P52_PAE_BP	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JX403939
JX409894	Streptococcus phage LYGO9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus agalactiae	yes	no	JX409894
JX409895	Streptococcus phage JX01	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus agalactiae	yes	no	JX409894
JX411619	Mycobacterium phage Rebeuca	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX411619
JX411620	Mycobacterium phage Dorothy	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX411620
JX483874	Rhizobium phage RHEph02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Rhizobium	Rhizobium etli	yes	no	JX483874
JX483875	Rhizobium phage RHEph03	Viruses; unclassified phages.	Rhizobium	Rhizobium etli	yes	no	JX483874
JX483877	Rhizobium phage RHEph05	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Rhizobium	Rhizobium etli	yes	no	JX483876
JX483878	Rhizobium phage RHEph06	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Rhizobium	Rhizobium etli	yes	no	JX483876
JX483879	Rhizobium phage RHEph08	Viruses; unclassified phages.	Rhizobium	Rhizobium etli	yes	no	JX483879
JX483880	Rhizobium phage RHEph09	Viruses; unclassified phages.	Rhizobium	Rhizobium etli	yes	no	JX483879
JX483881	Rhizobium phage RHEph10	Viruses; unclassified phages.	Rhizobium	Rhizobium etli	yes	no	JX483881
JX486088	Lactobacillus phage ATCC 8014-B2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus plantarum	yes	no	JX486088
JX509734	Enterobacteria phage SfI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Shigella	Shigella flexneri	yes	no	JX509734
JX560968	Escherichia phage EC6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	JX560968
JX649096	Mycobacterium phage Serpentine	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JX649097	Mycobacterium phage Piglet	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JX649098	Mycobacterium phage Nacho	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JX649099	Mycobacterium phage Gyarad	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JX875065	Staphylococcus phage SA5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	AY176327
JX889246	Streptomyces phage phiCAM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptomyces	Streptomyces coelicolor	yes	no	JX889246
JX913857	synthetic Enterobacteria phage phiX174.1f	other sequences; artificial sequences.	Escherichia	Escherichia coli	yes	no	EF380010
JX976549	Acinetobacter phage IME-AB2	Viruses; unclassified phages.	Acinetobacter	Acinetobacter baumannii	yes	no	JX976549
KC237308	Enterobacteria phage ID204 Moscow/ID	Viruses; ssDNA viruses; Microviridae; Microvirus; unclassifiedEnterobacteria phage G4 clade.	Escherichia	Escherichia coli	yes	no	KC237308
KC262634	Pseudomonas phage H66	Viruses; unclassified phages.	Pseudomonas	Pseudomonas aeruginosa	yes	no	KC262634
KC295538	Escherichia phage PBECO 4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	KC295538
KC330681	Bacillus phage Gemini	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus pumilus	yes	no	KC330681
KC330682	Bacillus phage Taylor	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus pumilus	yes	no	KC330682
KC333879	Enterobacteria phage phiJLA23	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	Escherichia	Escherichia coli	yes	no	KC333879
KC348598	Streptococcus phage phi20c	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC348598
KC348602	Streptococcus phage phi891591	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC348602
KC348603	Streptococcus phage phiD12	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC348603
KC348604	Streptococcus phage phiS10	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC348604
KC413987	Streptococcus phage phiSS12	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC413987
KC413988	Streptococcus phage phiST1	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC413988
KC522412	Lactococcus phage CaseusJM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	KC522412
KC661276	Mycobacterium phage Winky	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	KC661276
NC_000871	Streptococcus phage Sfi19	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_000871
NC_000902	Enterobacteria phage VT2-Sakai	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	KJ909655
NC_000924	Enterobacteria phage 933W	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	KJ909655
NC_001332	Enterobacteria phage I2-2	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Escherichia	Escherichia coli	yes	no	NC_001332
NC_001341	Acholeplasma phage MV-L1	Viruses; ssDNA viruses; Inoviridae; Plectrovirus; unclassifiedPlectrovirus.	Acholeplasma	Acholeplasma laidlawii	yes	no	NC_001341
NC_001365	Spiroplasma phage 1-R8A2B	Viruses; ssDNA viruses; Inoviridae; Plectrovirus.	Spiroplasma	Spiroplasma citri	yes	no	NC_001365
NC_001396	Xanthomonas phage Cf1c	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Xanthomonas	Xanthomonas campestris	yes	no	AB910602
NC_001416	Enterobacteria phage lambda	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus.	Escherichia	Escherichia coli	yes	no	EU078592
NC_001417	Enterobacteria phage MS2	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Escherichia	Escherichia coli	yes	no	NC_001417
NC_001418	Pseudomonas phage Pf3	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	M19377
NC_001421	Enterobacteria phage PRD1	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	Escherichia	Escherichia coli	yes	no	NC_001421
NC_001422	Enterobacteria phage phiX174 sensu lato	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
NC_001447	Acholeplasma phage L2	Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus.	Acholeplasma	Acholeplasma laidlawii	yes	no	NC_001447
NC_001604	Enterobacteria phage T7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Escherichia	Escherichia coli	yes	no	NC_001604
NC_001609	Enterobacteria phage P4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Escherichia	Escherichia coli	yes	no	NC_001609
NC_001697	Haemophilus phage HP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; Hpunalikevirus.	Haemophilus	Haemophilus influenzae	yes	no	NC_001697
NC_001706	Lactococcus phage c2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;C2likevirus.	Lactococcus	Lactococcus lactis	yes	no	NC_001706
NC_001741	Chlamydia phage 1	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus.	Chlamydia	Chlamydia psittaci	yes	no	NC_001741
NC_001825	Streptococcus phage Cp-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unassigned Picovirinae.	Streptococcus	Streptococcus pneumoniae	yes	no	NC_001825
NC_001890	Enterobacteria phage Qbeta	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	Escherichia	Escherichia coli	yes	no	NC_001890
NC_001895	Enterobacteria phage P2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Escherichia	Escherichia coli	yes	no	NC_001895
NC_001900	Mycobacterium phage D29	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;L5likevirus.	Mycobacterium	Mycobacterium tuberculosis	yes	no	NC_001900
NC_001901	Enterobacteria phage N15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;N15likevirus.	Escherichia	Escherichia coli	yes	no	NC_001901
NC_001954	Enterobacteria phage If1	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Escherichia	Escherichia coli	yes	no	NC_001954
NC_001956	Vibrio phage fs2	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio cholerae	yes	no	NC_001956
NC_001978	Streptomyces phage phiC31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Phic3unalikevirus.	Streptomyces	Streptomyces	yes	no	NC_001978
NC_001998	Guinea pig Chlamydia phage	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus.	Chlamydia	Chlamydia psittaci	yes	no	NC_001998
NC_002072	Streptococcus phage DT1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_002072
NC_002185	Streptococcus phage 7201	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_002185
NC_002214	Streptococcus phage Sfi11	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_002214
NC_002362	Vibrio phage VfO3K6	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_002362
NC_002363	Vibrio phage VfO4K68	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_002362
NC_002371	Enterobacteria phage P22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Salmonella	Salmonella enterica	yes	no	AB362338
NC_002649	Bacillus phage GA-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Phi29likevirus.	Bacillus	Bacillus	yes	no	NC_002649
NC_002656	Mycobacterium phage Bxb1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;L5likevirus; unclassified L5likevirus.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_002656
NC_002661	Staphylococcus phage phiSLT	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_002661
NC_002703	Lactococcus phage Tuc2009	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_002703
NC_002796	Lactococcus phage BK5-T	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	AJ245616
NC_003278	Pseudomonas phage phiCTX	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_003278
NC_003287	Enterobacteria phage M13	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Escherichia	Escherichia coli	yes	no	JF719732
NC_003288	Staphylococcus phage phiETA	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_003288
NC_003309	Burkholderia phage phiE125	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Burkholderia	Burkholderia thailandensis	yes	no	NC_003309
NC_003313	Vibrio phage K139	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; Hpunalikevirus.	Vibrio	Vibrio cholerae	yes	no	NC_003313
NC_003315	Haemophilus phage HP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; Hpunalikevirus.	Haemophilus	Haemophilus influenzae	yes	no	NC_003315
NC_003327	Vibrio phage VSK	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio cholerae	yes	no	AB572858
NC_003390	Synechococcus phage P60	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unassigned Autographivirinae.	Synechococcus	Synechococcus	yes	no	NC_003390
NC_003524	Clostridium phage phi3626	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium perfringens	yes	no	NC_003524
NC_003525	Stx2 converting phage I	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	KJ909655
NC_003793	Spiroplasma phage 1-C74	Viruses; ssDNA viruses; Inoviridae; Plectrovirus.	Spiroplasma	Spiroplasma citri	yes	no	NC_003793
NC_003907	Vibrio phage VpV262	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_003907
NC_004066	Lactococcus phage ul36	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	DQ394806
NC_004112	Lactobacillus phage A2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus casei	yes	no	NC_004112
NC_004165	Bacillus phage B103	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Phi29likevirus.	Bacillus	Bacillus subtilis	yes	no	NC_004165
NC_004166	Bacillus phage SPP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Bacillus	Bacillus subtilis	yes	no	NC_004166
NC_004167	Bacillus phage phi105	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Bacillus	Bacillus subtilis	yes	no	HM072038
NC_004301	Enterobacteria phage FI sensu lato	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	Escherichia	Escherichia coli	yes	no	NC_004301
NC_004333	Burkholderia phage Bcep781	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_004333
NC_004456	Vibrio phage VHML	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;VHML-like phages.	Vibrio	Vibrio harveyi	yes	no	NC_004456
NC_004466	Pseudomonas phage PaP3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_004466
NC_004586	Streptococcus pyogenes phage 315.3	Viruses; unclassified phages.	Streptococcus	Streptococcus pyogenes	yes	no	NC_004586
NC_004665	Pseudomonad phage gh-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Pseudomonas	Pseudomonas putida	yes	no	NC_004665
NC_004679	Staphylococcus phage P68	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Ahjdlikevirus; unclassified AHJD-like viruses.	Staphylococcus	Staphylococcus aureus	yes	no	NC_004678
NC_004680	Mycobacterium phage Che8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_004680
